Category,Page,Short Description,Key Actions
Client,Dashboard,"Overview of active projects, milestones, balances and recent activity","View statuses and deadlines; release or dispute milestones; message freelancers"
Client,Project Marketplace / Browse Freelancers,"Find freelancers or post projects with requirements and milestones","Search/filter; save/shortlist; open project details"
Client,Create Project (New Job Wizard),"Step-by-step form to define scope, milestones, payment terms, and escrow settings","Define milestones; set escrow terms; publish project"
Client,Project Detail (Client view),"Single project page showing milestones, proposals, chat and escrow status","Review proposals; approve/contest deliverables; view escrow history"
Client,Payments & Escrow,"Manage escrow deposits, refunds, and payment history for projects","Deposit funds; release funds or request refunds; view transactions"
Client,Messaging / Inbox,"Communication hub for project conversations and notifications","Send/receive messages; link to milestones/disputes; archive threads"
Client,Profile & Billing,"Client account, payment methods, billing receipts, and preferences","Update billing; view receipts; configure notifications"
Freelancer,Dashboard,"Snapshot of active contracts, pending milestones, earnings, and tasks","See deliverables; accept/decline projects; track payouts"
Freelancer,Job Marketplace / Discover Projects,"Browse available projects posted by clients","Submit proposals; save projects; view client ratings"
Freelancer,Proposal Composer,"Create and submit proposals with milestones, pricing and timelines","Draft milestone schedule; attach portfolio; submit proposal"
Freelancer,Project Detail (Freelancer view),"Contract view with milestone requirements, files, chat, and escrow info","Upload deliverables; request review; open dispute"
Freelancer,Submit Work & Deliverables,"Upload/submit work tied to a milestone for client approval","Attach files/notes; mark submitted; track feedback"
Freelancer,Earnings & Payouts,"Overview of cleared funds, pending escrow releases, payout methods","Configure payout method; withdraw balance; view history"
Freelancer,Profile & Portfolio,"Public freelancer profile, skills, ratings, and portfolio items","Update skills and rates; upload samples; manage visibility"
Dispute System,Dispute Center (entry),"Unified place to start and track disputes tied to projects/milestones","Open dispute; view status; access timeline"
Dispute System,Open Dispute (wizard),"Guided flow for submitting a dispute with reason, affected milestone, and evidence","Select category; upload evidence; submit for AI mediation or arbitration"
Dispute System,Dispute Detail,"Timeline view of the dispute, participants, evidence, and current state","Add evidence/comments; acknowledge outcome; escalate"
Dispute System,AI Mediation Console,"AI-assisted decision helper that summarizes evidence and proposes resolutions","Run analysis; view suggested resolutions; initiate settlement"
Dispute System,Arbitration Panel / Human Review,"Human adjudication interface for escalated disputes","Inspect case; record ruling; trigger escrow actions"
Dispute System,Dispute History & Analytics,"Archive of past disputes and analytics for patterns and trust metrics","Filter/search; export reports; view metrics"
Admin,Admin Dashboard,"Operational overview for platform health, funds in escrow, and active disputes","Monitor balances; view alerts and KPIs"
Admin,User & Role Management,"Manage client and freelancer accounts, roles, bans and appeals","Suspend/reactivate accounts; inspect history; change roles"
Admin,Escrow & Finance Management,"Tools to audit escrow flows, reconcile transactions, and manage fees","Inspect escrow accounts; adjust balances; configure fee schedules"
Admin,Dispute Oversight & Arbitration Tools,"Admin interface to oversee escalated disputes and human arbitration","Assign arbitrators; audit AI outputs; generate reports"
Admin,Policy & Content Moderation,"Configure platform policies, remove prohibited content, and manage reports","Update policies; review flagged content; enforce rules"
Admin,Audit Logs & Compliance,"Immutable logs and exportable trails for compliance and investigations","Search/export logs; trigger investigations"
Shared,Authentication (Login / Signup / Wallet Connect),"Entry points for signing up and authenticating (email, SSO, crypto wallet)","Register/verify; connect wallet; enable 2FA"
Shared,Notifications Center,"Central list of in-app, email, and webhook notifications","View/filter/dismiss; configure channels"
Shared,Activity Feed / Timeline,"Global or per-project timeline for recent events","Drill into events; subscribe to feeds"
Shared,Wallet & Account Security,"Wallet management and security settings for on-platform crypto operations","Connect wallets; manage recovery guidance; configure limits"
Shared,Help / Support / Documentation,"Knowledge base, FAQ, contact support and developer docs","Search docs; open tickets; access API docs"
Shared,Transaction History & Receipts,"Unified ledger of payments, escrow deposits/releases, fees and payouts","Filter/export history; download receipts"
Shared,Settings & Preferences,"Account-level preferences shared by all user types","Update personal info; configure integrations"
